time,chord
0.00,G:min7
0.50,C:dom7
1.00,G:min7
1.50,C:dom7
2.00,D:min7
2.50,C:dom7
3.00,D:min
3.50,D:min7
4.50,F:maj7
6.50,D:min7
7.00,A:min7
7.50,D:min7
8.50,C:dom7
10.50,G:min7
11.00,C:dom7
11.50,D:min
12.00,C#:maj7
12.50,D:min
13.00,F:maj7
19.50,G:dom7
61.50,C:dom7
76.50,A#:maj7
85.50,D:min7
87.50,D#:maj7
94.00,D:min7
96.00,D#:maj7
100.50,A#:maj7
133.00,C:dom7
137.50,D:min7
140.00,D:dom7
271.00,C:dom7
297.00,G:dom7
299.00,C:dom7
300.00,C#:maj7
301.00,F:maj7
303.00,D:min7
305.50,G:min7
306.00,D:min
307.50,D:min7
308.50,A#:dom7
